Id|Statement A|Theme A|Statement B|Theme B
1|I choose the most suitable gift for each of my friends|Individualization|I give gifts that most people will like|Includer
2|I like to spend time with forward-thinking people|Futuristic|I like to spend time with historians|Context
3|I like to be liked by everyone|Woo|I like to be praised|Significance
4|In competitions, I try to be first|Competition|I enjoy playing games|Relator
5|I have always worked hard and under pressure|Achiever|I work slowly but steadily|Discipline
6|I think about what I do best|Maximizer|I think about what I need to improve|Developer
7|I am an emotional person|Empathy|I am a logical person|Analytical
8|I get to know the people around me one by one|Relator|I am comfortable with many different types of people.|Adaptability
9|I am energized by starting a conversation|Communication|I find it exciting to open up to strangers|Activator
10|I have a great sense of life|Self-assurance|I feel like I am a competent person|Responsibility
11|I am a good team player|Harmony|I am someone who can achieve success on my own|Achiever
12|I can make others feel that they are important to me|Developer|I have the ability to make others feel successful|Achiever
13|Belief in humanity determines the direction of my life|Belief|My ambition and ambition define my life path|Achiever
14|Being a confidant and confidant of others is satisfying for me|Relator|I like to be a leader for others|Command
15|I like to follow things in order|Discipline|I like to look at things from different angles|Ideation
16|I am committed to growing and improving|Developer|I am committed to sticking to my principles and values|Belief
17|I want to have balance in my life|Harmony|I like to do what is best for my family|Responsibility
18|I talk to people around me several times a day about I talk about my future vision|Communication|I set aside time to plan and think about the future|Futuristic
19|I can excite others|Activator|I can put others at ease|Harmony
20|The moment I make a decision, I have to start taking action|Activator|I need to make sure I am not making a mistake before I start an activity|Deliberative
21|I focus more precisely than most people on what I want to do|Focus|I go with the flow of things as they arise and usually have a general understanding of all issues.|Adaptability
22|I believe that simultaneous events are not coincidences; Everything happens for a reason|Connectedness|I believe that coincidences are either a coincidence or a coincidence of chance.|Analytical
23|I am a good conversationalist|Communication|I am a good listener.|Relator
24|I enjoy appreciating and admiring others|Positivity|I enjoy being appreciated.|Significance
25|I like to compete|Competition|I like to work.|Achiever
26|I have a very realistic mindset and rely on experts in every field, based on their experience and wisdom, to help me find the right path|Input|I think creatively and strategically, and patterns and issues that need to be addressed naturally emerge and become clear to me.|Strategic
27|I am very lively, enthusiastic and happy|Positivity|I am aware of all the factors that influence the current situation.|Context
28|I want to become the CEO of a large organization|Significance|I have the ability to create a bond and reconciliation between two opposing groups.|Harmony
29|Sometimes my greatness affects others|Significance|I am impressed by the authority of famous leaders.|Command
30|I can put myself in someone else's shoes and understand how they are going through life's difficulties|Empathy|I have the ability to love people, all people.|Connectedness
31|I lead others to success|Developer|I make others happy.|Positivity
32|I am a person who hardly gets anxious and hardly accepts responsibility|Adaptability|I am more mature than my friends and relatives.|Responsibility
33|I like to do things with others as much as possible|Relator|I like to organize things for others.|Arranger
34|By studying history, I can discover the future|Context|My future will be independent of my past.|Futuristic
35|I am a drop in the infinite ocean of existence|Connectedness|I do not involve supernatural issues in making decisions in the ordinary affairs of life.|Analytical
36|I like my work to be the path of my life|Belief|Working is not a principle in itself, it is just a model of how to live.|Adaptability
37|When someone doesn't like me, I feel uncomfortable|Woo|I feel guilty when I do something I think is wrong|Responsibility
38|I organize and regulate|Discipline|I analyze|Analytical
39|I can make people feel good by picking out the important points from their words|Communication|I have the ability to listen to others and make them feel understood|Empathy
40|I seek out philosophical people|Intellection|I like to associate with successful and hardworking people|Achiever
41|I enjoy making others feel valued|Developer|I enjoy making others feel successful|Significance
42|I use my instincts and intuition to solve problems|Self-assurance|I use accurate data backed by solid research to solve problems|Analytical
43|I am generally cautious and have healthy doubts about life|Deliberative|I believe I am connected to all of humanity|Connectedness
44|My friends ask me to tell stories|Communication|My friends ask me for advice and opinions|Relator
45|I prefer to be around people who are like me|Relator|I feel bad when someone is left out of the team.|Includer
46|I can work as hard as most people but I don't have the drive to work harder or harder|Consistency|I have a lot of perseverance and in the workplace, I am always known as the person who works harder and harder.|Achiever
47|Anything that has to do with sports attracts my attention|Competition|Anything related to the ideas of humanity attracts my attention.|Ideation
48|I am very organized|Discipline|I am very persistent.|Focus
49|I grow when I share what I have|Developer|I grow when I learn something.|Learner
50|I follow a plan I have written for my future|Futuristic|I discover my future over time.|Learner
51|I focus on what I can achieve in the future.|Futuristic|I think about how I will react to what will happen in the future.|Strategic
52|I relate better to others when I understand their weaknesses.|Empathy|I can relate better to others when I understand their goals.|Achiever
53|I make friends with everyone so as not to break anyone's heart.|Includer|I choose my friends carefully.|Individualization
54|I don't care about being recognized as a reputable, professional, and successful person.|Responsibility|It is very important to me to be known as a reliable, professional, and successful person.|Significance
55|I enjoy understanding the causes and roots of world wars.|Context|I enjoy understanding where the world’s population will be in the next 50 years.|Futuristic
56|I approach life's problems analytically.|Analytical|I am passionate about issues that affect my life.|Belief
57|I progress by investing in my talents.|Maximizer|I make progress by overcoming my weaknesses.|Restorative
58|For me, everything has to go according to plan.|Discipline|I prefer to live with what happens.|Adaptability
59|I find different ways to do things.|Ideation|I use routines to get things done.|Discipline
60|I hate crying.|Self-assurance|Crying is a part of my life.|Empathy
61|I enjoy being relaxed.|Harmony|I enjoy cleaning.|Discipline
62|Happiness is being rich.|Significance|Happiness is not about money.|Connectedness
63|I ask for other people's opinions.|Input|People come to me and ask for my opinions.|Significance
64|I believe it is very important to treat everyone equally and to have clear rules for people to follow.|Consistency|I believe in discovering each person's unique strengths and motivating each person based on their unique strengths.|Individualization
65|I turn to experts to help me find the right answer.|Input|In every challenge, opportunities and threats usually come naturally to me.|Strategic
66|I give everyone praise generously.|Positivity|I am selective in admiring others and do not praise everyone.|Deliberative
67|In competitions, I am not completely satisfied until I come in first place.|Competition|I enjoy being among the winners of a competition.|Achiever
68|I have a talent for discovering how very different people work together.|Individualization|I have the talent to treat very different people equally.|Consistency
